Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
TweetyNet,1800.0,5,2000,precision_tfm,94.94948387145996,True,Precision (%)
TweetyNet,1800.0,1,4000,precision_tfm,95.6546664237976,True,Precision (%)
TweetyNet,1800.0,2,4000,precision_tfm,95.3408420085907,True,Precision (%)
TweetyNet,1800.0,3,4000,precision_tfm,95.82329392433168,True,Precision (%)
TweetyNet,1800.0,4,4000,precision_tfm,95.97123861312866,True,Precision (%)
TweetyNet,1800.0,5,4000,precision_tfm,95.9463894367218,True,Precision (%)
TemporalConvNet,1800.0,1,64,precision_tfm,92.83170700073242,True,Precision (%)
TemporalConvNet,1800.0,2,64,precision_tfm,93.69571805000304,True,Precision (%)
TemporalConvNet,1800.0,3,64,precision_tfm,92.94816851615906,True,Precision (%)
TemporalConvNet,1800.0,4,64,precision_tfm,90.97775220870972,True,Precision (%)
TemporalConvNet,1800.0,5,64,precision_tfm,91.10909104347228,True,Precision (%)
TemporalConvNet,1800.0,1,176,precision_tfm,93.77598762512208,True,Precision (%)
TemporalConvNet,1800.0,2,176,precision_tfm,92.84390211105348,True,Precision (%)
TemporalConvNet,1800.0,3,176,precision_tfm,94.26308870315552,True,Precision (%)
TemporalConvNet,1800.0,4,176,precision_tfm,93.3001697063446,True,Precision (%)
TemporalConvNet,1800.0,5,176,precision_tfm,91.15896224975586,True,Precision (%)
TemporalConvNet,1800.0,1,1000,precision_tfm,95.50675749778748,True,Precision (%)
TemporalConvNet,1800.0,2,1000,precision_tfm,95.13404965400696,True,Precision (%)
TemporalConvNet,1800.0,3,1000,precision_tfm,94.96477842330931,True,Precision (%)
TemporalConvNet,1800.0,4,1000,precision_tfm,94.30993795394896,True,Precision (%)
TemporalConvNet,1800.0,5,1000,precision_tfm,94.75301504135132,True,Precision (%)
TemporalConvNet,1800.0,1,2000,precision_tfm,95.46256065368652,True,Precision (%)
TemporalConvNet,1800.0,2,2000,precision_tfm,95.52046656608582,True,Precision (%)
TemporalConvNet,1800.0,3,2000,precision_tfm,95.58747410774232,True,Precision (%)
TemporalConvNet,1800.0,4,2000,precision_tfm,95.5360472202301,True,Precision (%)
TemporalConvNet,1800.0,5,2000,precision_tfm,95.24060487747192,True,Precision (%)
TemporalConvNet,1800.0,1,4000,precision_tfm,95.54812908172609,True,Precision (%)
TemporalConvNet,1800.0,2,4000,precision_tfm,94.87152695655824,True,Precision (%)
TemporalConvNet,1800.0,3,4000,precision_tfm,95.7387149333954,True,Precision (%)
TemporalConvNet,1800.0,4,4000,precision_tfm,95.14001607894896,True,Precision (%)
TemporalConvNet,1800.0,5,4000,precision_tfm,94.70203518867491,True,Precision (%)
ConvTemporalConvNet,1800.0,1,64,precision_tfm,92.18674898147584,True,Precision (%)
ConvTemporalConvNet,1800.0,2,64,precision_tfm,93.04351210594176,True,Precision (%)
ConvTemporalConvNet,1800.0,3,64,precision_tfm,93.28938126564026,True,Precision (%)
ConvTemporalConvNet,1800.0,4,64,precision_tfm,88.7930691242218,True,Precision (%)
ConvTemporalConvNet,1800.0,5,64,precision_tfm,94.75921392440796,True,Precision (%)
ConvTemporalConvNet,1800.0,1,176,precision_tfm,95.17887234687804,True,Precision (%)
ConvTemporalConvNet,1800.0,2,176,precision_tfm,94.28750276565552,True,Precision (%)
ConvTemporalConvNet,1800.0,3,176,precision_tfm,93.429833650589,True,Precision (%)
ConvTemporalConvNet,1800.0,4,176,precision_tfm,94.4625973701477,True,Precision (%)
ConvTemporalConvNet,1800.0,5,176,precision_tfm,95.81394791603088,True,Precision (%)
ConvTemporalConvNet,1800.0,1,1000,precision_tfm,96.3344156742096,True,Precision (%)
ConvTemporalConvNet,1800.0,2,1000,precision_tfm,95.80870270729064,True,Precision (%)
ConvTemporalConvNet,1800.0,3,1000,precision_tfm,95.994234085083,True,Precision (%)
ConvTemporalConvNet,1800.0,4,1000,precision_tfm,96.02535963058472,True,Precision (%)
ConvTemporalConvNet,1800.0,5,1000,precision_tfm,95.82498669624327,True,Precision (%)
ConvTemporalConvNet,1800.0,1,2000,precision_tfm,96.24454975128174,True,Precision (%)
ConvTemporalConvNet,1800.0,2,2000,precision_tfm,95.63949704170228,True,Precision (%)
ConvTemporalConvNet,1800.0,3,2000,precision_tfm,96.08019590377808,True,Precision (%)
ConvTemporalConvNet,1800.0,4,2000,precision_tfm,96.29767537117004,True,Precision (%)
ConvTemporalConvNet,1800.0,5,2000,precision_tfm,94.27363872528076,True,Precision (%)
